Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
pulceras Diablos,Producto,,2507071641074,pcs,50,0,100.0,0,1,0,1,0,1,pulceras Diablos,3,,,,,
PULSERA FANTASMA,Producto,511,2507453081791,pcs,90,66.6667,150.0,0,1,0,1,0,1,pulceras fantasmas,15,,2,4,1,1
Red Elastica,Producto,,2507071639590,pcs,64.12,0,90.0,0,1,0,1,0,1,Red Elastica,5,,,,,
"Rollo de luz Azul,Rojo,Verde,Amarillo",Producto,,2507524448876,pcs,100,0,180.0,0,1,0,1,0,1,"Rollo de luz Azul,Rojo,Verde,Amarillo",4,,,,,
Sensor  Touch,Producto,,2507519031547,pcs,89,0,90.0,0,1,0,1,0,1,Sensor  Touch,5,,,,,
Sudaderas Cuello Redondo,Producto,,2507490503353,pcs,185,0,205.0,0,1,0,1,0,1,Sudaderas Cuello Redondo,2,,,,,
suderas cangurera con capucha,Producto,,2507357027518,pcs,255,0,258.0,0,1,0,1,0,1,suderas cangurera con capucha,1,,3,2,1,2
Buff Fantasmas,Producto,107,2507524966134,pcs,100,50,150.0,0,1,1,1,0,1,Buff Fantasmas,4,,,,,
Gaban Fantasmas,Producto,108,2507535588912,pcs,280,35.7143,380.0,0,0,0,1,0,1,Gaban Fantasmas,2,Unknown,0,0,0,0
Toallas Fantasmas,Producto,109,2507814640045,pcs,150,46.6667,220.0,0,0,0,1,0,1,Toallas Fantasmas,2,,,,,
Paliacates Fantasmas Cabeza,Producto,110,2507371535505,pcs,60,41.6667,85.0,0,1,1,1,0,1,Paliacates Fantasmas Cabeza,10,,,,,
Paliacate Fantasmas Boca,Producto,111,2507183585961,pcs,50,70,85.0,0,1,1,1,0,1,Paliacate Fantasmas Boca,7,,,,,
negro 6,Jordan,140,2507335547148,pcs,550,0,850.0,0,1,1,1,0,0,negro 6,0,,,,,
blanco 6,Jordan,142,2507809589588,pcs,550,0,850.0,0,1,1,1,0,1,blanco 6,1,,,,,
Blanco con Dorado 5,Jordan,143,2507677618748,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con Dorado 5,0,,,,,
Blanco con Dorado 4,Nike,152,2507858654032,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con Dorado 4,1,,,,,
Arena 3.5,Jordan,169,2507680999561,pcs,550,0,850.0,0,1,1,1,0,1,Arena 3.5,1,,,,,
Negros 2.5,Jordan,172,2507702811019,pcs,550,0,850.0,0,1,1,1,0,1,Negros 2.5,1,,,,,
DISPONIBLE1,,,2507071643351,pcs,10.41,0,20.0,0,1,0,1,0,1,,11,,,,,
ANILLOS CRANEO OJOS ROJOS,,500,2507071643399,pcs,10.5,233.3333,35.0,0,1,0,1,0,1,Anillos gris con rojo,19,,8,10,1,5
ANILLOS FORMA DE LLANTA,,509,2507071643443,pcs,20,75,35.0,0,1,0,1,0,1,Anillos Naipes,3,,2,4,1,1
ANILLO ADAPTABLE ,,510,2507071643313,pcs,20,75,35.0,0,1,0,1,0,1,anillos Calabera con boca abierta,5,,2,6,1,1
cadenas para pantalon,,,2507081656426,pcs,9.5,0,30.0,0,1,0,1,0,1,cadenas para pantalon,5,,,,,
Cangador 2A,,,2507072000221,pcs,60,0,110.0,0,1,0,1,0,1,Cangador 2A,1,,,,,
Cargador 1A,,,2507071743594,pcs,35,0,70.0,0,1,0,1,0,1,Cargador 1A,4,,,,,
Cargador 3A,,,2507071943505,pcs,85,0,170.0,0,1,0,1,0,1,Cargador 3A,2,,,,,
Cartas Espanolas,,,2507081850183,pcs,6,0,20.0,0,1,0,1,0,1,Cartas Espanolas,4,,,,,
Chaleco JR,,,2507071733465,pcs,150,86.6667,280.0,0,1,0,1,0,0,chaleco nino,3,,,,,
chaleco CH,,,2507071733274,pcs,150,86.6667,280.0,0,1,0,1,0,1,chaleco CH,8,,,,,
chaleco M,,,2507071733342,pcs,150,73.3333,260.0,0,1,0,1,0,1,chaleco M,4,,,,,
chaleco G,,,2507071733304,pcs,150,120,330.0,0,1,0,1,0,1,chaleco G,4,,,,,
chaleco XXL,,,2507071733373,pcs,150,120,330.0,0,1,0,1,0,1,chaleco XXL,1,,,,,
chaleco XXXL,,,2507071733427,pcs,150,120,330.0,0,1,0,1,0,1,chaleco XXXL,1,,,,,
Cinturones tejidos,,,2508281401236,pcs,50,0,100.0,0,1,0,1,0,1,Cinturones tejidos,2,,,,,
Cinturones sintetico,,,2508281402202,pcs,50,0,100.0,0,1,0,1,0,1,Cinturones sintetico,4,,,,,
Collares Craneo con ojos rojos,,,2507081821404,pcs,85,0,120.0,0,1,0,1,0,1,Collares Craneo con ojos rojos,1,,,,,
Collares calavera negra,,,2507081821503,pcs,20,0,50.0,0,1,0,1,0,1,Collares calavera negra,1,,,,,
Coralles Esqueleto,,,2507081839379,pcs,20.99,0,60.0,0,1,0,1,0,1,Coralles Esqueleto,0,,,,,
Dardos Bandera de estados unidos,,,6861179004541,pcs,25,0,100.0,0,1,0,1,0,1,Dardos Bandera de estados unidos,3,,3,0,0,0
ENCENDEDORES VARIOS COLORES,,505,6843481905822,pcs,2.5,500,15.0,0,1,0,1,0,1,Encendedores Varios colores,29,,10,15,1,5
Evillas circulares,,,2507081559475,pcs,300,33.3333,400.0,0,1,0,1,0,1,Evillas circulares,2,,,,,
Evillas Resctangulares,,,2507081559390,pcs,300,33.3333,400.0,0,1,0,1,0,1,Evillas Resctangulares,2,,,,,
Guantes Varios,,,2507081642085,pcs,50,0,80.0,0,1,0,1,0,1,Guantes Varios,1,,,,,
Lentes Solares,,,2507081704417,22,22.6,165.4867,60.0,0,1,0,1,0,1,Lentes Solares,6,,,,,
Llave T  cromada(10mm),,,2507081958391,pcs,30,0,90.0,0,1,0,1,0,1,Llave T  cromada(10mm),2,,,,,
Llave T  plateada  (10mm),,,2507081958421,pcs,30,0,60.0,0,1,0,1,0,1,Llave T  plateada  (10mm),2,,,,,
Llave T  Tipo pipa (10mm),,,2507081958346,pcs,25,0,60.0,0,1,0,1,0,1,Llave T  Tipo pipa (10mm),4,,,,,
LLAVERO CAMPANA VARIOS,,501,2507081558027,pcs,38.9,0,120.0,0,1,0,1,0,1,Llavero De campana,5,,3,5,1,2
Llavero De moto con cascos,,,2507081841112,pcs,25.75,0,35.0,0,1,0,1,0,1,Llavero De moto con cascos,3,,,,,
Llavero De motocicleta,,,2507081841143,pcs,21.63,0,35.0,0,1,0,1,0,1,Llavero De motocicleta,4,,,,,
Llavero Virgen,,,2507081841181,pcs,7,0,15.0,0,1,0,1,0,1,Llavero Virgen,1,,,,,
Llaveros  Anime,,,2507081841242,pcs,15,66.6667,25.0,0,1,0,1,0,1,Llaveros  Anime,3,,,,,
